0.69999999999999996; 0.094103004141100524; 1; 5.7274792202904168; 4.2877578841177925e-16; 0.000108324; 0.11102952249348164; 1; 9.0759039441115696; 2.4083550445492303; 0.021447000000000001; 0.10562657192349434; 1; 5.7274792202904177; 0; 0.0079520000000000007; 0.019272902000000001; 1; 0.048780226000000003; 
0.79999999999999993; 0.093888124001437215; 1; 5.7312393887275119; 3.9814894648947782e-16; 9.5054000000000002e-05; 0.093863929311434433; 1; 5.7312393887275128; 0; 0.024365999999999999; 0.10551904886960983; 1; 5.7312393887275128; 0; 0.007012; 0.020291216000000001; 1; 0.051764270000000001; 
0.89999999999999991; 0.093936209020943476; 1; 5.7000947616539772; 1.8376105380682637e-16; 0.00011635600000000001; 0.10207661489645641; 1; 8.3515610180190123; 3.6129203070204601; 0.02317; 0.10552921146154404; 1; 5.7000947616539763; 0; 0.0075900000000000004; 0.019999528000000003; 1; 0.050875884000000003; 
0.99999999999999989; 0.093900819790774373; 1; 5.7296808208443082; 7.9629789243366106e-16; 0.000105531; 0.085361931473016739; 1; 9.053100784200911; 2.9549710722467557; 0.023377999999999999; 0.10548468306660652; 1; 5.7296808208443082; 0; 0.007352; 0.019816156000000001; 1; 0.050651687000000001; 
0.10000000000000001; 0.06767905430080226; 1; 4.8471896061334778; 2.0496425039592234e-16; 9.9105000000000007e-05; 0.10440222185570747; 1; 10.045444279440481; 6.3204463882266042; 0.045641000000000001; 0.075493205571547151; 1; 4.8471896061334778; 0; 0.008071; 0.019936121999999997; 1; 0.073747226999999999; 
0.20000000000000001; 0.093611687421798706; 1; 5.7033600208667004; 7.044173686729063e-16; 9.2539000000000003e-05; 0.096494492143392563; 1; 11.505615188179597; 6.6782028350771068; 0.287935; 0.10532635822892189; 1; 5.7033600208666995; 0; 0.006992; 0.016017010000000002; 1; 0.311036549; 
0.30000000000000004; 0.093976860416346578; 1; 5.7026018297646175; 5.2065631652775599e-16; 0.00010769600000000001; 0.081926757283508775; 1; 10.286725930723662; 5.2269577290904392; 0.030883000000000001; 0.10553240776062012; 1; 5.7026018297646175; 0; 0.0078879999999999992; 0.020394756000000003; 1; 0.059273452000000004; 
0.40000000000000002; 0.093710191547870636; 1; 5.7317867300828436; 5.8190999866503753e-16; 9.4286000000000012e-05; 0.077009868497649833; 1; 7.5635506936178434; 2.7107677211502015; 0.025023; 0.10538384690880775; 1; 5.7317867300828444; 0; 0.012507000000000001; 0.015852137000000002; 1; 0.053476423000000002; 
0.5; 0.093970014617360875; 1; 5.6971826336084179; 7.3504421183790573e-16; 9.4286000000000012e-05; 0.093999981880187988; 1; 6.7755307878433868; 1.7489922251157008; 0.022308999999999999; 0.10555125400424004; 1; 5.6971826336084179; 0; 0.0070499999999999998; 0.021506894000000002; 1; 0.050960180000000001; 
0.59999999999999998; 0.090382753646579286; 1; 5.5710553968070036; 6.737905271695828e-16; 9.4565e-05; 0.08913092563549678; 1; 5.5710553968070045; 2.9605947323337506e-16; 0.020459000000000001; 0.1015249490737915; 1; 5.5710553968070045; 0; 0.0097210000000000005; 0.023926873999999997; 1; 0.054201439000000004; 
0.69999999999999996; 0.093874347620996931; 1; 5.7253378039428311; 3.6752210443085285e-16; 9.9105000000000007e-05; 0.074284315419693783; 1; 7.6448786857416113; 2.851973896401645; 0.017961999999999999; 0.10545371472835541; 1; 5.7253378039428293; 0; 0.0074260000000000003; 0.017790462000000003; 1; 0.043277567000000003; 
0.79999999999999993; 0.093776479620358039; 1; 5.7207251850175957; 4.90029472256382e-16; 0.000100921; 0.07201576791703701; 1; 8.897072058286831; 4.1080511209867554; 0.027501000000000001; 0.10544511675834656; 1; 5.7207251850175975; 0; 0.0070210000000000003; 0.018437246000000004; 1; 0.053060167000000005; 
0.89999999999999991; 0.094030205545754267; 1; 5.7149413923308199; 2.7564157811865425e-16; 9.4495000000000009e-05; 0.093956177433331803; 1; 5.7149413923308208; 0; 0.022717000000000001; 0.10555822402238846; 1; 5.7149413923308208; 0; 0.0069849999999999999; 0.017911808000000001; 1; 0.047708303000000001; 
0.99999999999999989; 0.093844049192708112; 1; 5.7197072351808078; 5.5128315674273621e-16; 9.4635000000000004e-05; 0.091484936575094863; 1; 7.7511754277062757; 2.9437839448913619; 0.025461999999999999; 0.10548831522464752; 1; 5.7197072351808078; 0; 0.0069629999999999996; 0.019190575000000008; 1; 0.051710210000000006; 
0.10000000000000001; 0.094122286757518506; 1; 5.7059195183314939; 6.7379052544185919e-16; 9.0375000000000001e-05; 0.095192131400108335; 1; 33.23945322191598; 8.5244026712767145; 1.6656930000000001; 0.10559935495257378; 1; 5.7059195183314939; 0; 0.0069769999999999997; 0.017587610999999823; 1; 1.6903479859999999; 
0.20000000000000001; 0.093855173166455891; 1; 5.7142064978025067; 6.7379052544185919e-16; 9.8197000000000009e-05; 0.077646113932132721; 1; 9.335590988877744; 4.4545902674100839; 0.028198999999999998; 0.10549226030707359; 1; 5.7142064978025058; 0; 0.007084; 0.018325354000000005; 1; 0.053706551000000005; 
0.30000000000000004; 0.094014409287222503; 1; 5.6923252610379258; 5.8191000113003134e-16; 9.4076000000000012e-05; 0.072889229655265814; 1; 12.682175960034524; 3.9576346606816957; 0.056793000000000003; 0.1055576428771019; 1; 5.6923252610379276; 0; 0.0070159999999999997; 0.016413707999999999; 1; 0.080316784000000002; 
0.40000000000000002; 0.094022336448061059; 1; 5.7371744401287952; 3.9814894635315428e-16; 9.358700000000001e-05; 0.093958951532840729; 1; 5.7371744401287943; 5.9211895115532943e-16; 0.027380000000000002; 0.10556463524699211; 1; 5.7371744401287943; 0; 0.014585000000000001; 0.016769078; 1; 0.058827665000000001; 
0.5; 0.093698885677189661; 1; 5.7093255628079955; 6.4316368227685976e-16; 9.3657000000000001e-05; 0.077045094842712089; 1; 7.8533555839107354; 3.0816473836927187; 0.019623000000000002; 0.1054018959403038; 1; 5.7093255628079973; 0; 0.0095949999999999994; 0.021082251999999999; 1; 0.050393909000000001; 
0.59999999999999998; 0.093587114893156909; 1; 5.7162248548727899; 3.0626842031360281e-16; 0.00010567000000000001; 0.068935724906623363; 1; 8.9981925796355959; 3.4349236491052282; 0.021649999999999999; 0.10530136525630951; 1; 5.7162248548727908; 0; 0.007685; 0.019313780000000006; 1; 0.048754450000000005; 
0.69999999999999996; 0.093822166837494947; 1; 5.7081557814267132; 7.6567105194697171e-16; 9.9594000000000009e-05; 0.1168852945168813; 1; 20.298873981569884; 6.4827568650139229; 0.228019; 0.10544577240943909; 1; 5.7081557814267132; 0; 0.0070609999999999996; 0.016878861000000016; 1; 0.25205845500000001; 
0.79999999999999993; 0.08082274028233119; 1; 5.2273322107501032; 6.6613381378674755e-16; 9.1073e-05; 0.085842020809650421; 1; 7.0460841268407144; 3.0840879301212674; 0.093079999999999996; 0.091111399233341217; 1; 5.2273322107501023; 0; 0.0070260000000000001; 0.015222776000000007; 1; 0.115419849; 
0.89999999999999991; 0.094098406105205937; 1; 5.7062951510908686; 7.3504421177185815e-16; 9.3937000000000005e-05; 0.061586250085383654; 1; 12.698390721986398; 8.5598107472210145; 0.141906; 0.10561442002654076; 1; 5.7062951510908686; 0; 0.006979; 0.015825255000000014; 1; 0.16480419200000002; 
0.99999999999999989; 0.093893392075752397; 1; 5.7074516989076294; 6.4316368400458327e-16; 0.00010804500000000001; 0.093813568353652954; 1; 5.7074516989076294; 5.9211895115532943e-16; 0.023611; 0.10549766197800636; 1; 5.7074516989076294; 0; 0.0071539999999999998; 0.019479933000000005; 1; 0.050352978000000007; 
0.10000000000000001; 0.093799197468264345; 1; 5.7127024766453438; 4.9002947336275646e-16; 0.00011963800000000001; 0.11165785789489746; 1; 11.695700299548308; 6.5167581186194425; 0.027855999999999999; 0.10543495789170265; 1; 5.7127024766453438; 0; 0.0091640000000000003; 0.02008397700000001; 1; 0.057223615000000005; 
0.20000000000000001; 0.094094905103075097; 1; 5.7294691969780267; 3.6752210443085285e-16; 9.4006000000000008e-05; 0.08446274821956952; 1; 8.3955497002181758; 3.6644168154553718; 0.021256000000000001; 0.10557585582137108; 1; 5.7294691969780285; 0; 0.0070340000000000003; 0.015809467000000001; 1; 0.044193473000000004; 
0.30000000000000004; 0.093918593536163192; 1; 5.7145103408013069; 7.3504421011018221e-16; 9.3377999999999999e-05; 0.10496284510008991; 1; 12.006267470025666; 7.8133009029665841; 0.061156000000000002; 0.10550042614340782; 1; 5.7145103408013069; 0; 0.0070159999999999997; 0.016099404999999994; 1; 0.084364782999999999; 
0.40000000000000002; 0.094026070987356117; 1; 5.7179958553327568; 5.8190999856858065e-16; 9.3936000000000003e-05; 0.070983386132866144; 1; 9.0122505829702693; 3.049658519182846; 0.023202; 0.10555706545710564; 1; 5.7179958553327577; 0; 0.0071079999999999997; 0.015969765000000004; 1; 0.046373701000000003; 
0.5; 0.094007948349262099; 1; 5.6975821515916554; 7.3504421004413464e-16; 0.00013402600000000001; 0.093884455660978958; 1; 5.6975821515916554; 2.9605947323337506e-16; 0.024487999999999999; 0.10554170608520508; 1; 5.6975821515916554; 0; 0.0081080000000000006; 0.018717093000000008; 1; 0.051447119000000006; 
0.59999999999999998; 0.094261178682590346; 1; 5.718618832687909; 3.9814894635315428e-16; 9.5612000000000005e-05; 0.1177227720618248; 1; 25.278305373560659; 6.7022131373243683; 0.161028; 0.10570910200476646; 1; 5.7186188326879082; 0; 0.0070419999999999996; 0.017188195000000007; 1; 0.18535380700000001; 
0.69999999999999996; 0.068661548448010132; 1; 4.8633741815620519; 8.8817841617931279e-16; 8.4577e-05; 0.084232772933319211; 1; 12.912865937026393; 5.9500291920404775; 0.44383400000000001; 0.076761635486036539; 1; 4.8633741815620528; 0; 0.0070619999999999997; 0.015207126000000003; 1; 0.46618770300000001; 
0.79999999999999993; 0.093822177884907557; 1; 5.7115167592894194; 9.8005894871742674e-16; 0.000115308; 0.11541912208000819; 1; 8.2384987157814891; 3.5434764587681893; 0.027370999999999999; 0.10544532909989357; 1; 5.7115167592894185; 0; 0.0071149999999999998; 0.020955403000000001; 1; 0.055556711000000002; 
0.89999999999999991; 0.088601723978562016; 1; 5.507761080924662; 8.2473710368956871e-16; 9.5612000000000005e-05; 0.080367447808384895; 1; 9.8935427915979197; 4.1427977971392549; 0.025035000000000002; 0.099243868142366409; 1; 5.5077610809246611; 0; 0.0073239999999999998; 0.017606366000000005; 1; 0.050060978000000006; 
0.99999999999999989; 0.09394281331835122; 1; 5.6968984883009313; 3.9814894732320509e-16; 9.4495000000000009e-05; 0.088587610051035881; 1; 9.749716740828946; 3.1080006092635353; 0.028840999999999999; 0.10552901029586792; 1; 5.6968984883009322; 0; 0.0069979999999999999; 0.015901374000000006; 1; 0.051834869000000006; 
0.10000000000000001; 0.093895545293544908; 1; 5.7095238532484593; 4.2877578899326159e-16; 9.1770999999999999e-05; 0.10037438049912453; 1; 14.325504383547027; 4.8927750209798031; 0.081776000000000001; 0.10551958903670311; 1; 5.7095238532484611; 0; 0.0069849999999999999; 0.016278196000000005; 1; 0.10513096700000001; 
0.20000000000000001; 0.093740407762856318; 1; 5.7172797257732606; 2.7564157811865425e-16; 9.3448000000000004e-05; 0.067977603524923325; 1; 9.5807588404667037; 3.4590478544704717; 0.042972000000000003; 0.10538594052195549; 1; 5.7172797257732597; 0; 0.0079780000000000007; 0.019369276000000008; 1; 0.07041272400000001; 
0.30000000000000004; 0.093853467754248909; 1; 5.7116217616101235; 7.6567105327518174e-16; 9.3867000000000001e-05; 0.084017337610324219; 1; 7.8093280448664544; 3.0250855823366192; 0.021994; 0.10548039153218269; 1; 5.7116217616101226; 0; 0.0093570000000000007; 0.020280983000000002; 1; 0.051725850000000004; 
0.40000000000000002; 0.086434146256319108; 1; 5.4199391129908729; 9.5161973786942447e-16; 9.5543000000000003e-05; 0.083755135536193848; 1; 5.4199391129908712; 0; 0.021999000000000001; 0.096926577389240265; 1; 5.4199391129908712; 0; 0.0074120000000000002; 0.025632653999999994; 1; 0.055139197000000001; 
0.5; 0.094090595327574633; 1; 5.7297936355573587; 3.6752210443085285e-16; 0.000105111; 0.086580958217382431; 1; 8.9210167998494647; 2.6922500078455012; 0.025859; 0.10559716075658798; 1; 5.7297936355573595; 0; 0.0079089999999999994; 0.018651165000000001; 1; 0.052524276000000002; 
0.59999999999999998; 0.093853758326892189; 1; 5.709728292404014; 7.6567105320913417e-16; 9.358700000000001e-05; 0.096148555167019367; 1; 23.773546757237771; 8.3977514882534141; 0.44781700000000002; 0.10545457154512405; 1; 5.709728292404014; 0; 0.007045; 0.017204175000000019; 1; 0.47215976200000004; 
0.69999999999999996; 0.093753200923574379; 1; 5.7257650324476703; 7.9629789289922222e-16; 9.3727000000000006e-05; 0.12303300201892853; 1; 10.219236380979311; 4.2157155214620188; 0.031282999999999998; 0.1054154597222805; 1; 5.7257650324476703; 0; 0.0070540000000000004; 0.018912735000000007; 1; 0.057343462000000005; 
0.79999999999999993; 0.093650530124532769; 1; 5.7204684992660511; 4.5940263043053755e-16; 9.3028000000000004e-05; 0.079715170152485373; 1; 15.457039540384258; 7.1023106079897458; 0.87851299999999999; 0.10536305233836174; 1; 5.7204684992660528; 0; 0.0070910000000000001; 0.01619664500000002; 1; 0.90189367300000001; 
0.89999999999999991; 0.093922400269015077; 1; 5.7056975476196801; 5.2065631652775599e-16; 9.5334000000000006e-05; 0.11584975942969322; 1; 8.3181038266869951; 2.1864079758853925; 0.021602; 0.10551659017801285; 1; 5.7056975476196792; 0; 0.012144; 0.019859278999999997; 1; 0.053700613000000001; 
0.99999999999999989; 0.093828720779254512; 1; 5.7142325151537676; 2.1438789524410231e-16; 9.3937000000000005e-05; 0.093830150862534836; 1; 5.7142325151537694; 0; 0.026542; 0.10547032207250595; 1; 5.7142325151537694; 0; 0.0069820000000000004; 0.015503187000000002; 1; 0.049121124000000002; 
0.10000000000000001; 0.093983936926414227; 1; 5.7362659983667355; 6.1253684049088198e-16; 9.1911000000000008e-05; 0.07694610208272934; 1; 8.3220727697393375; 3.1480293038038472; 0.023401999999999999; 0.10554873198270798; 1; 5.7362659983667372; 0; 0.012130999999999999; 0.020815923000000004; 1; 0.056440834000000002; 
0.20000000000000001; 0.093809224665164948; 1; 5.7155432377321542; 6.1253684085998615e-16; 9.358700000000001e-05; 0.11810720711946487; 1; 8.3212381781207867; 3.631914970765608; 0.025749999999999999; 0.10542833432555199; 1; 5.7155432377321533; 0; 0.0070000000000000001; 0.016179754000000008; 1; 0.049023341000000005; 
0.30000000000000004; 0.093997490817102888; 1; 5.7177513994344533; 8.2692473472506666e-16; 0.00011481900000000001; 0.070800568753232554; 1; 6.8669378195371875; 1.9063041769306095; 0.038304999999999999; 0.10552709549665451; 1; 5.7177513994344533; 0; 0.0084810000000000007; 0.020695557; 1; 0.067596376; 
0.40000000000000002; 0.09361890600673084; 1; 5.7070467573792278; 6.1253684083958374e-16; 9.4146000000000003e-05; 0.084747647866606712; 1; 9.2249276004093375; 2.9792303961750051; 0.033471000000000001; 0.10535173863172531; 1; 5.7070467573792296; 0; 0.0069940000000000002; 0.016220973000000003; 1; 0.056780119000000004; 
0.5; 0.094083626979383925; 1; 5.6977742789620889; 6.4316368407063085e-16; 0.00011544800000000001; 0.073374470695853233; 1; 9.2537069762861535; 3.297902330073506; 0.020875999999999999; 0.10558042675256729; 1; 5.6977742789620889; 0; 0.0081040000000000001; 0.021045703000000002; 1; 0.050141151000000002; 
0.59999999999999998; 0.09395803562526045; 1; 5.7043158082897927; 4.5940263192548054e-16; 9.5263000000000013e-05; 0.088837044313549995; 1; 8.3643871289831786; 2.4789745734429856; 0.028812000000000001; 0.1055348627269268; 1; 5.7043158082897918; 0; 0.0070200000000000002; 0.021256686; 1; 0.057183949000000005; 
0.69999999999999996; 0.076068924326035708; 1; 5.0682332952715932; 2.6316397643555448e-16; 8.8349000000000004e-05; 0.061838096318145595; 1; 7.5251945359993755; 3.6912352129970358; 0.061985999999999999; 0.085474944673478603; 1; 5.0682332952715949; 0; 0.0070549999999999996; 0.015219998000000007; 1; 0.084349347000000005; 
0.79999999999999993; 0.093811772506812524; 1; 5.7086737134867391; 7.0441736860685872e-16; 0.00012354900000000001; 0.10247078910470009; 1; 8.2612330226196917; 2.7116751229553033; 0.022065999999999999; 0.10544344037771225; 1; 5.7086737134867382; 0; 0.0088839999999999995; 0.021587760000000004; 1; 0.052661309000000003; 
0.89999999999999991; 0.094068235878286693; 1; 5.7002416104445564; 6.4316368407063085e-16; 9.4635000000000004e-05; 0.09394548088312149; 1; 5.7002416104445572; 8.8817841838233023e-16; 0.02402; 0.10557165369391441; 1; 5.7002416104445572; 0; 0.0090310000000000008; 0.017763703000000006; 1; 0.050909338000000005; 
0.99999999999999989; 0.09364404914707973; 1; 5.7141864683874433; 5.5128315819781243e-16; 0.00012585500000000002; 0.093621236582597092; 1; 5.7141864683874442; 0; 0.021846999999999998; 0.10534359514713287; 1; 5.7141864683874442; 0; 0.0074450000000000002; 0.020596815000000004; 1; 0.050014670000000004; 
0.10000000000000001; 0.080791070919345925; 1; 5.218131326424535; 6.2501444380247874e-16; 8.6394e-05; 0.06499011007448037; 1; 7.3600140468680504; 3.3329547408931215; 0.048389000000000001; 0.091085551306605339; 1; 5.2181313264245341; 0; 0.0070089999999999996; 0.014819316000000004; 1; 0.070303710000000005; 
0.20000000000000001; 0.093848791358799769; 1; 5.7067008067874863; 5.2065631652775599e-16; 9.4984000000000011e-05; 0.093758717179298401; 1; 5.7067008067874863; 8.8817841838233023e-16; 0.033834000000000003; 0.10546030104160309; 1; 5.7067008067874854; 0; 0.007064; 0.01657111; 1; 0.057564094000000003; 
0.30000000000000004; 0.094163253132639263; 1; 5.6956557190432751; 9.1880526385096088e-16; 9.8965000000000012e-05; 0.09843240082263946; 1; 11.699578983424461; 3.5748775636837626; 0.13019800000000001; 0.10564245283603668; 1; 5.6956557190432751; 0; 0.007012; 0.016362050000000013; 1; 0.15367101500000002; 
0.40000000000000002; 0.0939570832355269; 1; 5.7158921877244016; 2.7564157839130144e-16; 9.3727000000000006e-05; 0.090679535083472734; 1; 14.08480274260887; 8.3490799264405773; 0.46237499999999998; 0.10553548485040665; 1; 5.7158921877244016; 0; 0.0070159999999999997; 0.016091058000000057; 1; 0.48557578500000004; 
0.5; 0.094174025901432701; 1; 5.7041036424586684; 7.6567105320913417e-16; 9.3937000000000005e-05; 0.086866102181375027; 1; 9.5927811586490002; 3.4769532650455908; 0.029680999999999999; 0.10564885661005974; 1; 5.7041036424586693; 0; 0.0070159999999999997; 0.017336340000000002; 1; 0.054127277000000001; 
0.59999999999999998; 0.094057884195755267; 1; 5.7122381894591534; 7.350442119039533e-16; 9.4286000000000012e-05; 0.093950939675172165; 1; 5.7122381894591543; 1.4802973701761192e-15; 0.023403; 0.10558124259114265; 1; 5.7122381894591543; 0; 0.0070930000000000003; 0.016646447000000002; 1; 0.047236733000000003; 
0.69999999999999996; 0.093662048979052184; 1; 5.7222463879570018; 2.7564157825497784e-16; 9.4286000000000012e-05; 0.080358811654150486; 1; 14.025261734855585; 8.0141425371325798; 0.123973; 0.10534199699759483; 1; 5.7222463879570018; 0; 0.0070439999999999999; 0.016090188999999998; 1; 0.147201475; 
0.79999999999999993; 0.093789810507461949; 1; 5.7214868733739257; 7.9629789293908888e-16; 9.5613000000000008e-05; 0.082464297612508133; 1; 7.8778669349904913; 3.1346646634998141; 0.022086000000000001; 0.10545405745506287; 1; 5.7214868733739257; 0; 0.0094330000000000004; 0.022782735000000002; 1; 0.054397348000000005; 
0.89999999999999991; 0.093771855892806219; 1; 5.7134855959125499; 4.9002947522257513e-16; 9.400700000000001e-05; 0.1311828593413035; 1; 8.437185304187242; 3.6496241979490236; 0.028473999999999999; 0.10542789101600647; 1; 5.7134855959125499; 0; 0.0070159999999999997; 0.016415548000000002; 1; 0.051999555000000003; 
0.99999999999999989; 0.093866805321183702; 1; 5.7047814862700506; 4.9002947336275646e-16; 9.4077000000000001e-05; 0.081304050050675869; 1; 10.177582832505822; 2.7446501730618569; 0.024177000000000001; 0.10546093061566353; 1; 5.7047814862700514; 0; 0.0075620000000000001; 0.020259442000000003; 1; 0.052092519000000004; 
0.10000000000000001; 0.093817917180472402; 1; 5.717112743972506; 5.2065631454778759e-16; 9.5753000000000003e-05; 0.065843087621033192; 1; 9.5579630391516872; 3.3486339023793934; 0.037870000000000001; 0.10546566545963287; 1; 5.717112743972506; 0; 0.0070689999999999998; 0.016506382000000003; 1; 0.061541135000000004; 
0.20000000000000001; 0.093965813517570496; 1; 5.7047712897703082; 3.9814894755598567e-16; 9.9384000000000009e-05; 0.11443537846207619; 1; 9.5771507392203041; 3.6065041796393493; 0.033786999999999998; 0.10551203414797783; 1; 5.70477128977031; 0; 0.0073959999999999998; 0.018456776000000008; 1; 0.059739160000000006; 
0.30000000000000004; 0.093812271695712518; 1; 5.7080848348766189; 4.2877578876048101e-16; 9.9315000000000007e-05; 0.098392006941139698; 1; 10.002032881366867; 3.0414849193307849; 0.022613000000000001; 0.10545870661735535; 1; 5.708084834876618; 0; 0.0071019999999999998; 0.018283562000000003; 1; 0.048097877000000004; 
0.40000000000000002; 0.094098270196339179; 1; 5.7190942457848237; 2.7564157825497784e-16; 0.000104622; 0.090844906866550446; 1; 7.5763630831578119; 2.7525828217248605; 0.031798; 0.10558838397264481; 1; 5.7190942457848237; 0; 0.0074269999999999996; 0.019053088000000006; 1; 0.058382710000000004; 
0.5; 0.093982333767003032; 1; 5.7014884380052724; 3.0626842128365373e-16; 9.4495000000000009e-05; 0.093885421752929688; 1; 5.7014884380052715; 0; 0.023831000000000001; 0.1055431067943573; 1; 5.7014884380052715; 0; 0.0070169999999999998; 0.016063339000000003; 1; 0.047005834000000003; 
0.59999999999999998; 0.094144049132692406; 1; 5.7050433746988451; 5.8191000113003134e-16; 9.519400000000001e-05; 0.094010819991429642; 1; 5.7050433746988443; 2.9605947323337506e-16; 0.026492999999999999; 0.10563692077994347; 1; 5.7050433746988443; 0; 0.0069940000000000002; 0.016737114000000001; 1; 0.050319308; 
